Item ID,Topic Code & Name,Target Learning Competency,Question / Problem Statement,Final Answer,Step-by-Step Solution
T01-Q011,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","An aircraft flies 220 km on a bearing of 040° from Airport A to Waypoint B, then turns and flies 310 km on a bearing of 160° to Airport C. Calculate the direct distance from A to C.",AC = √76300 ≈ 276.22 km,"Back-bearing of AB is 040° + 180° = 220°. Bearing BC is 160°. Included angle ∠ABC = 220° - 160° = 60°. AC² = 220² + 310² - 2(220)(310)cos(60°) = 48400 + 96100 - 68200 = 76300 => AC ≈ 276.22 km."
T01-Q012,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","Two radar stations 45 km apart on an East-West coastline simultaneously detect a vessel. Station West measures a bearing of 035° and Station East measures 310°. Find the perpendicular distance from the vessel to the coastline.",h ≈ 23.78 km,"West baseline angle = 90° - 35° = 55°; East baseline angle = 310° - 270° = 40°. Vessel angle = 180° - 95° = 85°. Distance from West = 45 * sin(40°) / sin(85°) ≈ 29.0436 km. Perpendicular distance h = WV * sin(55°) ≈ 23.78 km."
T01-Q013,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","A 25-meter communication mast stands vertically on a hill that slopes downwards at 14° to the horizontal. A guy wire runs from the top of the mast to an anchor 35 meters downhill. Find the length of the guy wire.",L ≈ 47.68 m,"Mast is vertical (90°) and hill slopes downward at 14°, so included angle = 90° + 14° = 104°. L² = 25² + 35² - 2(25)(35)cos(104°) = 1850 - 1750(-0.24192) = 2273.36 => L ≈ 47.68 m."
T01-Q014,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","A suspension bridge cable sag creates a triangular truss ABC where AB = 80 m, AC = 65 m, and ∠BAC = 112°. Determine the required tension brace length BC.",BC ≈ 120.50 m,"BC² = 80² + 65² - 2(80)(65)cos(112°) = 10625 - 10400(-0.3746) = 14520.9 => BC ≈ 120.50 m."
T01-Q015,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","A gantry crane boom of length 18 m is inclined at 55° to the horizontal. If a hydraulic ram of length 12 m connects the boom at a point 6 m from the pivot to the base, find the angle the ram makes with the ground.",θ ≈ 24.18°,"In △OPB, OP = 6 m, PB = 12 m, ∠POB = 55°. Law of Sines: sin θ = (6 sin 55°) / 12 = 0.5 sin 55° ≈ 0.40958 => θ = arcsin(0.40958) ≈ 24.18°."
T01-Q016,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","To measure the height of an inaccessible mountain peak P, a surveyor measures angle of elevation 28° from station A and 41° from station B. Stations A and B are 500 meters apart on level ground in direct line with P. Calculate the height of the peak.",Height ≈ 684.60 m,"In △PAB, ∠PAB = 28°, ∠PBA = 180° - 41° = 139°, ∠APB = 41° - 28° = 13°. PB = 500 * sin(28°) / sin(13°) ≈ 1043.50 m. Height h = PB * sin(41°) ≈ 684.60 m."
T01-Q017,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","A triangular land parcel is bounded by three straight fences of lengths 120 m, 160 m, and 200 m. Verify whether any boundary corner forms a true right angle and find the land area in hectares.","Forms a true right angle (90°); Area = 0.96 hectares (9,600 m²)","120² + 160² = 14400 + 25600 = 40000 = 200². By converse of Pythagorean theorem, the corner opposite 200 m is 90°. Area = 0.5 * 120 * 160 = 9600 m² = 0.96 hectares."
T01-Q018,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","A surveyor needs the width of a swamp from point X to point Y. From an accessible point Z, ZX = 140 m, ZY = 190 m, and ∠XZY = 53.5°. Calculate the distance XY.",XY ≈ 155.10 m,"XY² = 140² + 190² - 2(140)(190)cos(53.5°) = 55700 - 53200(0.5948) = 24055.5 => XY ≈ 155.10 m."
T01-Q019,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","In △ABC, b = 8 cm, c = 10 cm, and the area of the triangle is 20√3 cm². Find all possible measures of included angle A and the corresponding values of side a.","A = 60° with a = 2√21 cm (≈ 9.17 cm); or A = 120° with a = 2√61 cm (≈ 15.62 cm)","Area = 0.5 * 8 * 10 * sin A = 40 sin A = 20√3 => sin A = √3/2 => A = 60° or 120°. For 60°: a = √(64 + 100 - 80) = √84 = 2√21 cm. For 120°: a = √(164 + 80) = √244 = 2√61 cm."
T01-Q020,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","Given △PQR with sides p = x + 1, q = 2x, and r = x + 3 enclosing angle P = 60°, solve for x algebraically.","No real solution (discriminant Δ = -15 < 0); if angle opposite side r is 60°, x = 4","(x+1)² = (2x)² + (x+3)² - 2(2x)(x+3)cos(60°) => x² + 2x + 1 = 3x² + 9 => 2x² - 2x + 8 = 0 => x² - x + 4 = 0. Discriminant Δ = 1 - 16 = -15 < 0 (no real solution). If ∠R = 60°, then (x+3)² = (x+1)² + 4x² - 2x(x+1) simplifies to x² - 3x - 4 = 0 => x = 4."
T01-Q021,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","In △ABC, a² = b² + c² + √2 bc. Determine the exact degree measure of angle A without using a calculator.",A = 135°,"By Law of Cosines, a² = b² + c² - 2bc cos A. Equating to a² = b² + c² + √2 bc gives -2bc cos A = √2 bc => cos A = -√2/2 => A = 135°."
T01-Q022,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","In △ABC with a = 9, b = 11, and c = 14, calculate the exact length of the median m_c drawn from vertex C to the midpoint of side c using Apollonius' Theorem / Law of Cosines.","m_c = 2√13 (or √52 ≈ 7.21)","By Apollonius' Theorem: a² + b² = 2(m_c² + (c/2)²) => 9² + 11² = 2(m_c² + 7²) => 202 = 2m_c² + 98 => m_c² = 52 => m_c = 2√13 ≈ 7.21."
T01-Q023,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","Calculate the length of the internal angle bisector of angle A in △ABC where b = 6 cm, c = 12 cm, and A = 60°.",t_a = 4√3 cm ≈ 6.93 cm,"t_a = [2bc cos(A/2)] / (b + c) = [2(6)(12)cos(30°)] / (6 + 12) = [144 * (√3/2)] / 18 = 72√3 / 18 = 4√3 cm ≈ 6.93 cm."
T01-Q024,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","Find the altitude h_a to side a in △ABC having side lengths a = 7 cm, b = 8 cm, and c = 9 cm.",h_a = (24√5)/7 cm ≈ 7.67 cm,"s = (7+8+9)/2 = 12. Area = √(12 * 5 * 4 * 3) = 12√5 cm². Since Area = 0.5 * a * h_a, h_a = 2(12√5)/7 = (24√5)/7 ≈ 7.67 cm."
T01-Q025,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","Derive Heron's formula for the area of a triangle algebraically by combining the Law of Cosines with the trigonometric identity sin² C = 1 - cos² C.","Area = √(s(s - a)(s - b)(s - c))","From Law of Cosines: cos C = (a² + b² - c²)/(2ab). Using sin² C = (1 - cos C)(1 + cos C) = [c² - (a-b)²][(a+b)² - c²]/(4a²b²) = 16s(s-a)(s-b)(s-c)/(4a²b²). Taking square root and substituting into Area = 0.5 ab sin C yields Heron's formula."
T01-Q026,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","The area of an oblique triangle is 42 cm² and two of its sides measure 12 cm and 14 cm. Find the acute and obtuse possibilities for the included angle.","Acute angle = 30°; Obtuse angle = 150°","Area = 0.5 * 12 * 14 * sin θ = 84 sin θ = 42 => sin θ = 0.5. The two solutions in (0°, 180°) are 30° and 180° - 30° = 150°."
T01-Q027,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","A sailmaker cuts a triangular mainsail with perimeter 36 feet and sides in the ratio 5 : 6 : 7. Use Heron's formula to calculate the sail surface area.",Area = 24√6 sq ft ≈ 58.79 sq ft,"Perimeter = 5x + 6x + 7x = 18x = 36 => x = 2. Sides are 10, 12, 14 ft; semiperimeter s = 18 ft. Area = √(18 * 8 * 6 * 4) = √3456 = 24√6 ≈ 58.79 sq ft."
T01-Q028,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","Three cylindrical fuel storage tanks of radii 3 m, 5 m, and 7 m are stacked touching each other externally. Calculate the three interior angles of the triangle formed by joining their center axes.","41.41°, 55.77°, 82.82°","Side lengths connecting centers are 3+5=8 m, 3+7=10 m, 5+7=12 m. Law of Cosines yields: cos θ₁ = (10²+12²-8²)/240 = 0.75 => 41.41°; cos θ₂ = (8²+12²-10²)/192 = 0.5625 => 55.77°; cos θ₃ = (8²+10²-12²)/160 = 0.125 => 82.82°."
T01-Q029,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","A triangular flag ABC is inscribed in a circular hoop of radius R = 10 cm. If ∠A = 45° and ∠B = 60°, determine the exact lengths of all three sides of the flag.","a = 10√2 cm (≈ 14.14 cm), b = 10√3 cm (≈ 17.32 cm), c = 5(√6 + √2) cm (≈ 19.32 cm)","C = 180° - (45° + 60°) = 75°. By extended Law of Sines with 2R = 20 cm: a = 20 sin 45° = 10√2; b = 20 sin 60° = 10√3; c = 20 sin 75° = 20(√6 + √2)/4 = 5(√6 + √2) cm."
T01-Q030,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","A chord of length 16 cm divides a circle of radius 10 cm into two segments. Using the Law of Cosines on the central triangle, find the central angle subtended by the chord.",θ ≈ 106.26°,"In isosceles triangle with legs 10, 10 and base 16: cos θ = (10² + 10² - 16²) / (2 * 10 * 10) = -56 / 200 = -0.28 => θ = arccos(-0.28) ≈ 106.26°."
T01-Q031,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","A student applies the Law of Sines to △ABC: sin(120°)/15 = sin(B)/20 and obtains sin B = 1.154, concluding B ≈ 65°. Identify and explain the mathematical error.","Domain violation: sin B = 1.154 > 1; side opposite obtuse angle must be the strictly longest side (15 < 20 is impossible)","(1) Sine range is [-1, 1], so sin B = 1.154 is impossible. (2) In any triangle, the side opposite an obtuse angle (120°) must be strictly the longest side; a side of 15 opposite 120° while another side is 20 violates triangle geometry."
T01-Q032,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","Prove algebraically that in any △ABC, a(sin B - sin C) + b(sin C - sin A) + c(sin A - sin B) = 0.",Identity proven (cancels to 0),"Substitute a = 2R sin A, b = 2R sin B, c = 2R sin C: 2R[sin A sin B - sin A sin C + sin B sin C - sin B sin A + sin C sin A - sin C sin B] = 2R(0) = 0."
T01-Q033,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","Prove that in any △ABC, (b² - c²)/a² = sin(B - C) / sin(B + C).",Identity proven,"LHS = [4R²(sin² B - sin² C)] / [4R² sin² A] = sin(B - C)sin(B + C) / sin²(180° - (B + C)) = sin(B - C)sin(B + C) / sin²(B + C) = sin(B - C) / sin(B + C) = RHS."
T01-Q034,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","Prove using the Law of Cosines that if a² + b² = 2c², then cos C = (a² + b²) / (4ab) - 1/2.",cos C = (a² + b²) / (4ab),"Given a² + b² = 2c² => c² = (a² + b²)/2. By Law of Cosines: cos C = (a² + b² - c²)/(2ab) = [a² + b² - (a² + b²)/2] / (2ab) = (a² + b²) / (4ab)."
T01-Q035,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","A soccer goal is 7.32 meters wide. A striker is positioned 18 meters from the left goalpost and 14 meters from the right goalpost. Calculate the player's shooting angle toward the goal.",θ ≈ 22.27°,"cos θ = (18² + 14² - 7.32²) / (2 * 18 * 14) = 466.4176 / 504 ≈ 0.92543 => θ = arccos(0.92543) ≈ 22.27°."
T01-Q036,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","An astronomer measures the angle between Mars and the Sun from Earth as 48°. If the Earth-Sun distance is 1.00 AU and the Mars-Sun distance is 1.52 AU, find the possible Earth-Mars distances.",d ≈ 1.995 AU (1.995 AU),"1.52² = 1.00² + d² - 2(1.00)d cos(48°) => d² - 1.3383d - 1.3104 = 0. Positive root: d = [1.3383 + √(1.3383² + 4(1.3104))] / 2 ≈ 1.995 AU."
T01-Q037,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","Two hikers leave camp simultaneously: Hiker 1 walks at 4 km/h on a course of 080° and Hiker 2 walks at 5.5 km/h on a course of 200°. Determine their separation distance after 2.5 hours.",Distance ≈ 20.65 km (20.65 km),"d₁ = 4 * 2.5 = 10 km; d₂ = 5.5 * 2.5 = 13.75 km. Angle = 200° - 080° = 120°. D² = 10² + 13.75² - 2(10)(13.75)cos(120°) = 426.5625 => D = √426.5625 ≈ 20.65 km."
T01-Q038,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","A drone takes off from ground station G, ascends to altitude 120 m at an elevation angle of 35°, while a second station H located 300 m from G records an elevation angle of 22°. Find the direct distance from H to the drone.",Direct distance ≈ 320.34 m,"In vertical right triangle at H with vertical altitude h = 120 m and elevation angle 22°, direct line-of-sight distance = 120 / sin(22°) ≈ 320.34 m."
T01-Q039,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","A golf ball is sliced 18° off the fairway center-line on a 390-meter par-4 hole. If the tee shot traveled 230 meters, calculate the remaining distance to the center of the green.",Remaining distance ≈ 185.42 m,"BG² = 230² + 390² - 2(230)(390)cos(18°) = 205000 - 170619.6 = 34380.4 => BG = √34380.4 ≈ 185.42 m."
T01-Q040,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","In △ABC, sides b = 10 and c = 15 are fixed, but included angle A varies between 0° and 180°. Graph the relationship between side length a and angle A, and identify the maximum possible perimeter.","a(A) = √(325 - 300 cos A); Maximum perimeter approaches 50","a(A) = √(10² + 15² - 2(10)(15)cos A) = √(325 - 300 cos A). As A → 180°, cos A → -1, so a → 25. Maximum perimeter supremum approaches 10 + 15 + 25 = 50."
T01-Q041,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","Determine the minimum perimeter among all triangles having an area of 50 cm² and an interior angle of 60°.","Minimum perimeter = 3√(200/√3) ≈ 32.24 cm (equilateral triangle)","Area = 0.5 bc sin(60°) = 50 => bc = 200/√3. Perimeter P = b + c + √(b² + c² - bc) is minimized by symmetry and AM-GM when b = c. Side s = √(200/√3) ≈ 10.75 cm, so P_min = 3s ≈ 32.24 cm."
T01-Q042,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","If the angles of a triangle are in arithmetic progression (A, B, C), prove that side b and circumradius R satisfy b = R√3.","Proven: B = 60°, so b = 2R sin(60°) = R√3","Angles in AP sum to 3B = 180° => B = 60°. By extended Law of Sines: b / sin B = 2R => b = 2R sin(60°) = 2R(√3/2) = R√3."
T01-Q043,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","In a quadrilateral ABCD, diagonal AC = 12 cm divides it into △ABC and △ADC. If in △ABC: AB = 8, BC = 10; and in △ADC: AD = 9, CD = 7, determine the angle between the two diagonals.","θ ≈ 76.53° (or obtuse supplement 103.47°)","Place AC on x-axis: A(0,0), C(12,0). cos ∠BAC = (8²+12²-10²)/192 = 9/16 => B(4.50, 6.61). cos ∠CAD = (9²+12²-7²)/216 = 22/27 => D(7.33, -5.22). Diagonal vector BD = (-2.83, 11.83) => θ = arctan(11.83/2.83) ≈ 76.53°."
T01-Q044,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","A solar tracker rotates a photovoltaic panel between morning angle (elevation 25°, azimuth 100°) and afternoon angle (elevation 45°, azimuth 220°). Model the 3D angular displacement using spherical Law of Cosines.",Angular displacement γ ≈ 91.24°,"cos γ = sin(25°)sin(45°) + cos(25°)cos(45°)cos(120°) = 0.29883 - 0.32042 = -0.02159 => γ = arccos(-0.02159) ≈ 91.24°."
T01-Q045,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","A 4-bar mechanical linkage has link lengths a = 6 cm, b = 8 cm, c = 5 cm, and fixed base d = 11 cm. Calculate the transmission angle when the input crank angle is 60°.",Transmission angle μ ≈ 91.43°,"Diagonal s² = 6² + 11² - 2(6)(11)cos(60°) = 91. In coupler-rocker triangle: 91 = 8² + 5² - 2(8)(5)cos(μ) => 80 cos(μ) = -2 => cos(μ) = -0.025 => μ = arccos(-0.025) ≈ 91.43°."
T01-Q046,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","A zip-line rider travels between two trees of different elevations across a valley. Given cable length 250 m, departure angle of depression 16°, and return cable length 260 m at 14°, find the horizontal width of the valley.","Width ≈ 240.32 m (departure cable; 252.28 m return; mean ≈ 246.30 m)","Horizontal width = Cable Length * cos(angle). Departure cable: W = 250 * cos(16°) ≈ 240.32 m. Return cable: W = 260 * cos(14°) ≈ 252.28 m."
T01-Q047,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","In △ABC, prove the Law of Tangents: (a - b)/(a + b) = tan((A - B)/2) / tan((A + B)/2) using the Law of Sines and prosthaphaeresis formulas.",Identity proven,"By Law of Sines: (a - b)/(a + b) = (sin A - sin B)/(sin A + sin B). Applying prosthaphaeresis formulas: [2 sin((A-B)/2) cos((A+B)/2)] / [2 cos((A-B)/2) sin((A+B)/2)] = tan((A-B)/2) / tan((A+B)/2)."
T01-Q048,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","A submarine sonar operator receives pings from two vessels: Vessel Alpha at range 3,400 m bearing 045°, and Vessel Beta at range 5,100 m bearing 125°. Compute the distance between Alpha and Beta.",Distance ≈ 5616.75 m,"Angle = 125° - 045° = 80°. D² = 3400² + 5100² - 2(3400)(5100)cos(80°) = 37570000 - 34680000(0.17365) = 31547880 => D = √31547880 ≈ 5616.75 m."
T01-Q049,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","A triangular roof truss has rafter slopes of 30° on the South side and 45° on the North side. If the South rafter is 8.5 meters long, calculate the span of the building and the length of the North rafter.","North rafter = 4.25√2 ≈ 6.01 m; Building span ≈ 11.61 m","Apex angle = 180° - 75° = 105°. By Law of Sines: North rafter = 8.5 * sin(30°) / sin(45°) = 4.25√2 ≈ 6.01 m. Span = 8.5 * sin(105°) / sin(45°) ≈ 11.61 m."
T01-Q050,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","A searchlight sweeps across a lake, tracking a boat at point A with angle 35° and a boat at point B with angle 52°. If the distance between the boats is 180 m, find the distance from the searchlight to boat A.","SA ≈ 485.14 m (sweep angle 17°); or 142.04 m (interior angles)","With tracking sweep ∠S = 52° - 35° = 17° and angle at boat B = 180° - 52° = 128°: SA = 180 * sin(52°) / sin(17°) ≈ 485.14 m. (If 35° and 52° are interior angles, apex is 93°, yielding SA = 180 * sin(52°) / sin(93°) ≈ 142.04 m)."
